Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-2023-03667,2023-01-02,2023-01-05,Standard Class,Joel Newton,Home Office,Charlotte,North Carolina,East,Furniture,Tables,Conference Table 8ft,7582.14,11,0.15,135.06
ORD-2023-04585,2023-01-02,2023-01-05,Second Class,Benjamin Townsend,Home Office,Orlando,Florida,South,Furniture,Furnishings,Desk Organizer Set,131.77,4,0.25,4.77
ORD-2023-02725,2023-01-02,2023-01-04,Standard Class,April Turner,Consumer,San Antonio,Texas,South,Technology,Phones,OnePlus 12,541.76,1,0.05,103.97
ORD-2023-06498,2023-01-02,2023-01-06,Second Class,Holly Bell,Home Office,San Diego,California,West,Technology,Monitors,"Dell UltraSharp 27""",975.91,2,0.0,128.89
ORD-2023-05388,2023-01-02,2023-01-07,Standard Class,Alexis Wells,Corporate,Las Vegas,Nevada,West,Furniture,Furnishings,Desk Organizer Set,59.85,2,0.1,6.36
ORD-2023-00692,2023-01-02,2023-01-03,Standard Class,Pamela Gutierrez,Consumer,St. Louis,Missouri,Central,Office Supplies,Art Supplies,Pencil Set Mechanical,25.45,2,0.3,3.14
ORD-2023-01769,2023-01-02,2023-01-07,Standard Class,Karen Thomas,Consumer,Baltimore,Maryland,East,Office Supplies,Binders,Presentation Binder,40.35,3,0.25,9.12
ORD-2023-05384,2023-01-02,2023-01-08,Second Class,Michael Garcia,Consumer,Tampa,Florida,South,Technology,Monitors,"LG 4K 32""",1839.3,5,0.0,373.83
ORD-2023-06664,2023-01-02,2023-01-06,Standard Class,David Skinner,Consumer,Orlando,Florida,South,Technology,Laptops,HP Spectre x360,712.57,1,0.25,22.15
ORD-2023-02435,2023-01-03,2023-01-07,Standard Class,Nicholas Cisneros,Home Office,Portland,Oregon,West,Furniture,Furnishings,Desk Lamp LED,145.69,3,0.1,16.84
ORD-2023-07581,2023-01-04,2023-01-10,Second Class,Monica Madden,Home Office,Minneapolis,Minnesota,Central,Technology,Monitors,"ASUS ProArt 27""",580.9,1,0.1,109.46
ORD-2023-05355,2023-01-04,2023-01-08,Second Class,Blake Vega,Consumer,Dallas,Texas,Central,Office Supplies,Art Supplies,Marker Set 24-Color,94.12,4,0.2,29.27
ORD-2023-02149,2023-01-05,2023-01-09,Standard Class,Amber King,Consumer,Raleigh,North Carolina,South,Technology,Laptops,MacBook Air M3,8056.26,7,0.05,644.89
ORD-2023-08147,2023-01-05,2023-01-11,Second Class,Lisa Morales,Consumer,Las Vegas,Nevada,West,Technology,Accessories,Logitech MX Master,93.1,1,0.05,21.53
ORD-2023-05863,2023-01-05,2023-01-10,Second Class,Mark Santos,Corporate,Detroit,Michigan,Central,Technology,Accessories,Logitech MX Master,87.0,1,0.2,9.37
ORD-2023-00544,2023-01-05,2023-01-10,Standard Class,Kathleen Robertson,Home Office,Indianapolis,Indiana,Central,Technology,Phones,Samsung Galaxy S24,11623.66,12,0.0,2415.49
ORD-2023-05751,2023-01-05,2023-01-08,Standard Class,Diana Kemp,Corporate,Phoenix,Arizona,West,Technology,Monitors,"ASUS ProArt 27""",1166.38,2,0.15,63.02
ORD-2023-03099,2023-01-06,2023-01-13,Standard Class,Mason Chase,Consumer,Richmond,Virginia,East,Office Supplies,Storage,Label Maker Pro,221.27,4,0.0,90.55
ORD-2023-04842,2023-01-06,2023-01-09,First Class,Kathy Hull,Consumer,St. Louis,Missouri,Central,Technology,Monitors,"Dell UltraSharp 27""",2733.05,6,0.0,808.26
ORD-2023-04249,2023-01-06,2023-01-10,Second Class,Krista Fuller,Consumer,Columbus,Ohio,Central,Furniture,Tables,Conference Table 8ft,3594.9,4,0.05,610.71
ORD-2023-05073,2023-01-06,2023-01-10,Standard Class,Jeffery York,Consumer,Tampa,Florida,South,Technology,Accessories,Webcam HD 1080p,417.89,6,0.0,51.21
ORD-2023-03054,2023-01-07,2023-01-09,Second Class,Mary Hill,Home Office,Minneapolis,Minnesota,Central,Furniture,Chairs,Ergonomic Mesh Chair,327.21,1,0.1,-11.97
ORD-2023-07856,2023-01-07,2023-01-10,Same Day,Jason Waters,Corporate,Jacksonville,Florida,East,Furniture,Bookcases,Floating Wall Shelf Set,64.55,1,0.2,-1.11
ORD-2023-04382,2023-01-07,2023-01-10,Standard Class,Christopher Hudson,Consumer,Sacramento,California,West,Office Supplies,Binders,Presentation Binder,19.43,1,0.0,3.11
ORD-2023-08338,2023-01-07,2023-01-09,Second Class,Hannah Terry,Consumer,Tampa,Florida,South,Furniture,Tables,Conference Table 8ft,1456.98,2,0.2,153.07
ORD-2023-02464,2023-01-07,2023-01-10,First Class,Scott Foster,Corporate,Detroit,Michigan,Central,Technology,Phones,Google Pixel 8,649.12,1,0.1,34.04
ORD-2023-04898,2023-01-07,2023-01-10,Standard Class,Eric Spencer,Corporate,Kansas City,Missouri,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,155.08,1,0.2,15.92
ORD-2023-08847,2023-01-07,2023-01-12,Standard Class,Mrs. Valerie Ramirez,Consumer,Houston,Texas,Central,Furniture,Bookcases,Glass Display Case,2604.14,8,0.0,287.22
ORD-2023-02929,2023-01-08,2023-01-09,Standard Class,Paul Gordon,Consumer,Charlotte,North Carolina,East,Furniture,Furnishings,Whiteboard 48x36,505.62,4,0.0,48.81
ORD-2023-08483,2023-01-08,2023-01-12,Standard Class,Mrs. Megan Kelly DDS,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Label Maker Pro,188.95,4,0.05,70.62
ORD-2023-08293,2023-01-08,2023-01-12,Standard Class,Randy Flores,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Floating Wall Shelf Set,252.28,3,0.0,-8.28
ORD-2023-04857,2023-01-08,2023-01-14,First Class,Darius Khan,Corporate,Las Vegas,Nevada,West,Technology,Phones,Google Pixel 8,2405.08,4,0.2,192.99
ORD-2023-03652,2023-01-08,2023-01-13,Standard Class,Jessica Wilson,Consumer,San Francisco,California,West,Office Supplies,Storage,Storage Boxes 12-Pack,89.32,4,0.2,14.43
ORD-2023-09238,2023-01-08,2023-01-10,Standard Class,Brandy Hogan,Home Office,Dallas,Texas,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,678.13,4,0.0,70.28
ORD-2023-09279,2023-01-08,2023-01-14,Second Class,Douglas Sullivan,Consumer,Charlotte,North Carolina,East,Furniture,Chairs,Executive Leather Chair,2005.74,5,0.2,-172.61
ORD-2023-09011,2023-01-08,2023-01-12,Standard Class,Stacey Jones,Corporate,Louisville,Kentucky,South,Technology,Laptops,MacBook Air M3,1635.81,2,0.3,230.64
ORD-2023-02559,2023-01-08,2023-01-11,Second Class,Carolyn Haley,Consumer,Orlando,Florida,South,Furniture,Chairs,Ergonomic Mesh Chair,895.76,3,0.05,-62.2
ORD-2023-04670,2023-01-08,2023-01-13,First Class,Brandon Baker,Consumer,Austin,Texas,South,Furniture,Furnishings,Desk Lamp LED,279.29,5,0.0,19.43
ORD-2023-06978,2023-01-08,2023-01-11,Standard Class,Donna Reese,Corporate,Richmond,Virginia,East,Technology,Laptops,Dell XPS 15,6792.5,5,0.0,1479.38
ORD-2023-05349,2023-01-09,2023-01-13,Standard Class,Ann Peterson,Consumer,Charlotte,North Carolina,East,Furniture,Tables,Conference Table 8ft,2159.74,3,0.1,-88.28
ORD-2023-00909,2023-01-09,2023-01-13,Standard Class,William Miller,Corporate,Memphis,Tennessee,South,Furniture,Bookcases,Metal Storage Shelf,858.04,9,0.15,12.63
ORD-2023-05372,2023-01-09,2023-01-13,Same Day,Renee Johnson,Consumer,Sacramento,California,West,Office Supplies,Binders,Report Covers 25-Pack,66.66,4,0.0,23.85
ORD-2023-07657,2023-01-09,2023-01-12,Same Day,Brittany Underwood,Consumer,Austin,Texas,South,Furniture,Chairs,Task Chair Standard,253.9,2,0.1,-14.63
ORD-2023-07065,2023-01-09,2023-01-12,Standard Class,Rachel Rollins,Corporate,Columbus,Ohio,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,734.97,4,0.1,-49.11
ORD-2023-07037,2023-01-09,2023-01-13,Standard Class,Adriana Parks,Consumer,Portland,Oregon,West,Technology,Laptops,MacBook Air M3,2305.47,2,0.15,466.33
ORD-2023-03619,2023-01-09,2023-01-11,Standard Class,James Nicholson,Consumer,Milwaukee,Wisconsin,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,154.87,1,0.05,23.05
ORD-2023-06073,2023-01-09,2023-01-13,Standard Class,Matthew Thompson,Consumer,Richmond,Virginia,East,Technology,Laptops,ThinkPad X1 Carbon,2228.33,2,0.1,138.24
ORD-2023-08971,2023-01-10,2023-01-14,Second Class,Bobby Mullen,Corporate,Columbus,Ohio,Central,Furniture,Chairs,Standing Desk Stool,379.56,2,0.15,-6.72
ORD-2023-06488,2023-01-10,2023-01-16,Standard Class,Philip Espinoza,Consumer,San Antonio,Texas,South,Technology,Laptops,MacBook Air M3,1969.8,2,0.25,363.37
ORD-2023-03623,2023-01-10,2023-01-12,Standard Class,Scott Lara,Corporate,St. Louis,Missouri,Central,Furniture,Chairs,Executive Leather Chair,425.9,1,0.1,-14.41
ORD-2023-03699,2023-01-10,2023-01-13,Standard Class,Steven Clark,Consumer,Houston,Texas,Central,Furniture,Chairs,Executive Leather Chair,543.28,1,0.05,5.76
ORD-2023-07082,2023-01-10,2023-01-16,Standard Class,Christopher Cameron,Consumer,Kansas City,Missouri,Central,Office Supplies,Storage,Tape Dispenser Heavy,15.81,1,0.15,5.65
ORD-2023-00365,2023-01-10,2023-01-12,Standard Class,Tracy Burke,Consumer,San Diego,California,West,Office Supplies,Storage,Tape Dispenser Heavy,39.33,2,0.0,18.94
ORD-2023-04027,2023-01-10,2023-01-12,Standard Class,Eddie Bailey,Home Office,Houston,Texas,Central,Technology,Accessories,Webcam HD 1080p,81.37,1,0.05,18.55
ORD-2023-06539,2023-01-10,2023-01-14,Standard Class,Richard Graham,Home Office,Atlanta,Georgia,East,Furniture,Bookcases,Metal Storage Shelf,421.25,4,0.2,12.45
ORD-2023-01307,2023-01-11,2023-01-15,Standard Class,Grace Chavez,Home Office,San Antonio,Texas,South,Furniture,Bookcases,5-Shelf Bookcase Oak,813.3,5,0.05,38.35
ORD-2023-02302,2023-01-11,2023-01-12,Same Day,Jennifer Baker,Corporate,Chicago,Illinois,Central,Technology,Laptops,ThinkPad X1 Carbon,1090.41,1,0.05,173.89
ORD-2023-02204,2023-01-11,2023-01-14,Standard Class,James Miller,Corporate,Seattle,Washington,West,Office Supplies,Binders,Presentation Binder,54.24,4,0.3,11.61
ORD-2023-03551,2023-01-11,2023-01-17,First Class,Mrs. Lisa Smith,Home Office,Las Vegas,Nevada,West,Furniture,Tables,Compact Writing Desk,638.42,3,0.1,-17.16
ORD-2023-01438,2023-01-11,2023-01-14,Second Class,Catherine Roberts,Consumer,Boston,Massachusetts,East,Furniture,Bookcases,Floating Wall Shelf Set,73.61,1,0.1,-4.09
ORD-2023-07906,2023-01-11,2023-01-14,Second Class,Max Leblanc,Consumer,Houston,Texas,Central,Office Supplies,Art Supplies,Pen Set Professional,36.2,1,0.0,6.03
ORD-2023-04742,2023-01-11,2023-01-14,First Class,Chad Rojas,Corporate,Baltimore,Maryland,East,Office Supplies,Art Supplies,Pencil Set Mechanical,34.52,2,0.0,9.18
ORD-2023-05922,2023-01-11,2023-01-15,Same Day,Riley Davenport,Home Office,Miami,Florida,East,Furniture,Bookcases,5-Shelf Bookcase Oak,562.0,3,0.0,46.85
ORD-2023-03456,2023-01-11,2023-01-12,Second Class,Heidi Gonzalez,Home Office,Birmingham,Alabama,South,Furniture,Furnishings,Desk Organizer Set,130.37,4,0.2,2.73
ORD-2023-09046,2023-01-11,2023-01-14,Same Day,Dr. Donna Bailey,Consumer,St. Louis,Missouri,Central,Office Supplies,Art Supplies,Highlighter 12-Pack,30.85,3,0.15,11.34
ORD-2023-08443,2023-01-12,2023-01-18,Standard Class,Zachary Beck,Corporate,Orlando,Florida,South,Office Supplies,Binders,Report Covers 25-Pack,81.06,6,0.1,8.36
ORD-2023-08156,2023-01-12,2023-01-19,Second Class,Joan Rogers,Consumer,Raleigh,North Carolina,South,Office Supplies,Art Supplies,Highlighter 12-Pack,73.51,6,0.15,11.3
ORD-2023-01312,2023-01-12,2023-01-16,Second Class,Richard Gordon,Corporate,Memphis,Tennessee,South,Technology,Accessories,Webcam HD 1080p,72.98,1,0.05,7.55
ORD-2023-01662,2023-01-12,2023-01-15,First Class,Kurt Hancock,Consumer,Washington,District of Columbia,East,Furniture,Bookcases,Metal Storage Shelf,202.85,2,0.3,2.98
ORD-2023-09715,2023-01-13,2023-01-16,Standard Class,Peter Allen,Consumer,Detroit,Michigan,Central,Furniture,Chairs,Ergonomic Mesh Chair,1180.72,4,0.05,-86.46
ORD-2023-02958,2023-01-13,2023-01-19,Same Day,Monica Curtis,Corporate,Jacksonville,Florida,East,Technology,Phones,OnePlus 12,1276.81,2,0.05,337.35
ORD-2023-01148,2023-01-14,2023-01-17,Standard Class,Sarah Booth,Home Office,Milwaukee,Wisconsin,Central,Technology,Monitors,"LG 4K 32""",1408.92,4,0.0,420.7
ORD-2023-04239,2023-01-14,2023-01-21,Standard Class,Jenny Cardenas,Corporate,Portland,Oregon,West,Office Supplies,Art Supplies,Marker Set 24-Color,230.66,8,0.05,103.21
ORD-2023-07087,2023-01-14,2023-01-16,First Class,Debra Larson,Consumer,Miami,Florida,East,Office Supplies,Storage,Tape Dispenser Heavy,12.91,1,0.25,0.78
ORD-2023-00421,2023-01-14,2023-01-18,Standard Class,George Harper,Consumer,Louisville,Kentucky,South,Office Supplies,Binders,Report Covers 25-Pack,27.48,2,0.15,3.05
ORD-2023-00761,2023-01-14,2023-01-17,Standard Class,Mary Kelly,Consumer,Raleigh,North Carolina,South,Furniture,Furnishings,Desk Lamp LED,61.35,2,0.4,-4.69
ORD-2023-05757,2023-01-14,2023-01-18,Standard Class,Sheri Hoover,Consumer,Portland,Oregon,West,Technology,Monitors,"Samsung Curved 34""",517.91,1,0.0,152.57
ORD-2023-01602,2023-01-14,2023-01-15,Standard Class,Brenda Gallegos,Consumer,Los Angeles,California,West,Office Supplies,Paper,Legal Pads 12-Pack,51.03,2,0.0,19.46
ORD-2023-04172,2023-01-14,2023-01-17,Standard Class,Ashley Martinez,Consumer,Miami,Florida,East,Technology,Laptops,HP Spectre x360,4073.34,4,0.15,289.07
ORD-2023-01772,2023-01-14,2023-01-18,Standard Class,Amanda Hardin,Consumer,Indianapolis,Indiana,Central,Technology,Laptops,HP Spectre x360,942.01,1,0.15,120.4
ORD-2023-00919,2023-01-14,2023-01-19,First Class,Bryan Moore,Home Office,Houston,Texas,Central,Office Supplies,Storage,Storage Boxes 12-Pack,61.43,2,0.1,26.38
ORD-2023-05492,2023-01-14,2023-01-19,Standard Class,Brandi Ibarra,Corporate,Indianapolis,Indiana,Central,Furniture,Chairs,Executive Leather Chair,390.51,1,0.15,-17.12
ORD-2023-07828,2023-01-14,2023-01-16,Same Day,Travis Hughes,Consumer,Baltimore,Maryland,East,Furniture,Chairs,Ergonomic Mesh Chair,2251.44,6,0.05,142.96
ORD-2023-07773,2023-01-14,2023-01-19,First Class,Kevin Hansen,Home Office,Las Vegas,Nevada,West,Furniture,Tables,Standing Desk Electric,1183.58,3,0.25,-67.05
ORD-2023-04939,2023-01-15,2023-01-19,First Class,Claire Hoffman,Consumer,Indianapolis,Indiana,Central,Office Supplies,Paper,Sticky Notes Bulk Pack,182.05,10,0.1,19.11
ORD-2023-05080,2023-01-15,2023-01-18,First Class,Bonnie Woods,Corporate,Portland,Oregon,West,Furniture,Furnishings,Desk Lamp LED,238.8,5,0.05,24.45
ORD-2023-09832,2023-01-15,2023-01-19,Standard Class,Michael Hawkins,Consumer,Las Vegas,Nevada,West,Office Supplies,Binders,Presentation Binder,89.22,6,0.1,39.87
ORD-2023-01121,2023-01-15,2023-01-18,First Class,Misty Garcia,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,196.83,1,0.05,21.53
ORD-2023-02940,2023-01-15,2023-01-21,Second Class,Brian Miller,Corporate,Atlanta,Georgia,East,Furniture,Furnishings,Filing Cabinet 3-Drawer,636.15,4,0.2,-0.49
ORD-2023-06789,2023-01-16,2023-01-19,Same Day,Tonya Kemp,Home Office,Phoenix,Arizona,West,Technology,Laptops,ThinkPad X1 Carbon,1277.4,1,0.1,262.65
ORD-2023-02443,2023-01-16,2023-01-22,First Class,Alex Cameron,Home Office,Atlanta,Georgia,East,Furniture,Bookcases,Metal Storage Shelf,612.88,5,0.0,-24.06
ORD-2023-09815,2023-01-16,2023-01-19,Standard Class,Julian Williams,Corporate,New York,New York,East,Office Supplies,Paper,Copy Paper 5000 Sheets,42.93,1,0.0,19.95
ORD-2023-00179,2023-01-16,2023-01-17,Standard Class,Lawrence Adkins,Consumer,Chicago,Illinois,Central,Technology,Monitors,"Dell UltraSharp 27""",3520.39,8,0.1,599.81
ORD-2023-00495,2023-01-16,2023-01-20,Standard Class,Meghan Cisneros,Corporate,Birmingham,Alabama,South,Office Supplies,Storage,Storage Boxes 12-Pack,66.61,2,0.0,23.96
ORD-2023-07901,2023-01-16,2023-01-18,Standard Class,Danny Lee,Corporate,Tampa,Florida,South,Furniture,Furnishings,Whiteboard 48x36,88.9,1,0.25,-6.28
ORD-2023-04283,2023-01-16,2023-01-19,Standard Class,Mark Knight,Consumer,Las Vegas,Nevada,West,Office Supplies,Storage,Storage Boxes 12-Pack,25.11,1,0.15,7.41
ORD-2023-03936,2023-01-17,2023-01-20,Standard Class,Jon Garza,Consumer,Raleigh,North Carolina,South,Office Supplies,Storage,Drawer Organizer,68.88,3,0.1,24.17
ORD-2023-08542,2023-01-17,2023-01-23,Standard Class,Jeffrey Evans,Consumer,Orlando,Florida,South,Furniture,Bookcases,5-Shelf Bookcase Oak,193.03,1,0.0,26.61
ORD-2023-03624,2023-01-17,2023-01-20,Standard Class,Francis Andrews,Corporate,Louisville,Kentucky,South,Technology,Monitors,"LG 4K 32""",2178.31,6,0.15,590.97
ORD-2023-06537,2023-01-17,2023-01-20,Standard Class,Pamela Burnett,Consumer,Portland,Oregon,West,Office Supplies,Art Supplies,Pen Set Professional,26.61,1,0.2,7.53
ORD-2023-00419,2023-01-17,2023-01-24,Standard Class,Jeffrey Mills,Home Office,St. Louis,Missouri,Central,Furniture,Chairs,Task Chair Standard,726.99,5,0.05,89.64
ORD-2023-01684,2023-01-17,2023-01-22,Second Class,David Jones,Corporate,Atlanta,Georgia,East,Office Supplies,Paper,Sticky Notes Bulk Pack,85.01,5,0.15,32.26
ORD-2023-07577,2023-01-17,2023-01-20,Standard Class,Johnathan Palmer,Home Office,Jacksonville,Florida,East,Furniture,Chairs,Executive Leather Chair,508.05,1,0.1,54.85
ORD-2023-03923,2023-01-17,2023-01-22,Standard Class,William Lozano,Consumer,Minneapolis,Minnesota,Central,Technology,Monitors,"ASUS ProArt 27""",1628.05,3,0.1,433.31
ORD-2023-01142,2023-01-17,2023-01-22,Standard Class,Vanessa Santiago,Consumer,Detroit,Michigan,Central,Furniture,Bookcases,Glass Display Case,1400.66,6,0.15,-59.94
ORD-2023-09438,2023-01-17,2023-01-21,First Class,Samuel Prince,Home Office,Sacramento,California,West,Technology,Monitors,"LG 4K 32""",398.6,1,0.0,106.26
ORD-2023-02753,2023-01-17,2023-01-23,Standard Class,Linda Atkinson,Home Office,Houston,Texas,Central,Technology,Laptops,MacBook Air M3,1003.94,1,0.2,192.69
ORD-2023-08007,2023-01-17,2023-01-22,Second Class,James Snyder,Home Office,Seattle,Washington,West,Furniture,Tables,Conference Table 8ft,1390.01,2,0.2,68.42
ORD-2023-05889,2023-01-18,2023-01-21,Standard Class,John Williams,Consumer,San Diego,California,West,Furniture,Chairs,Task Chair Standard,96.42,1,0.4,-24.0
ORD-2023-08080,2023-01-18,2023-01-21,Second Class,Melissa Torres,Corporate,Columbus,Ohio,Central,Technology,Accessories,Webcam HD 1080p,529.01,7,0.0,109.75
ORD-2023-00493,2023-01-18,2023-01-22,Standard Class,William Gould,Home Office,New York,New York,East,Furniture,Tables,Conference Table 8ft,4713.04,6,0.15,-513.7
ORD-2023-06072,2023-01-18,2023-01-21,First Class,Maria Weaver,Consumer,Houston,Texas,Central,Office Supplies,Storage,Tape Dispenser Heavy,48.35,3,0.0,24.07
ORD-2023-07270,2023-01-18,2023-01-22,Second Class,George Vaughan,Home Office,Dallas,Texas,Central,Furniture,Furnishings,Filing Cabinet 3-Drawer,867.34,5,0.1,64.38
ORD-2023-01495,2023-01-18,2023-01-22,Standard Class,Jennifer Garcia,Consumer,Orlando,Florida,South,Furniture,Bookcases,5-Shelf Bookcase Oak,552.03,3,0.1,95.74
ORD-2023-03659,2023-01-18,2023-01-22,Standard Class,Jason Smith,Home Office,New York,New York,East,Furniture,Tables,Conference Table 8ft,3334.72,5,0.2,-189.85
ORD-2023-04289,2023-01-18,2023-01-20,Standard Class,Rebecca Estrada,Consumer,Austin,Texas,South,Office Supplies,Binders,3-Ring Binder Set,99.92,4,0.0,30.24
ORD-2023-03737,2023-01-18,2023-01-20,Same Day,Heather Stevens,Consumer,Washington,District of Columbia,East,Office Supplies,Paper,Sticky Notes Bulk Pack,19.42,1,0.0,3.33
ORD-2023-04063,2023-01-18,2023-01-25,First Class,Shawn Doyle,Corporate,Birmingham,Alabama,South,Furniture,Chairs,Task Chair Standard,138.11,1,0.05,14.51
ORD-2023-02148,2023-01-18,2023-01-22,First Class,Tracy George,Consumer,New Orleans,Louisiana,South,Technology,Phones,iPhone 15 Pro,10120.77,9,0.0,2553.17
ORD-2023-06078,2023-01-18,2023-01-21,First Class,Franklin Harris,Consumer,Birmingham,Alabama,South,Technology,Phones,OnePlus 12,2412.23,4,0.05,712.84
ORD-2023-07973,2023-01-19,2023-01-23,Standard Class,Eric Hernandez,Consumer,San Francisco,California,West,Furniture,Furnishings,Desk Organizer Set,252.84,6,0.0,-1.79
ORD-2023-01642,2023-01-19,2023-01-24,First Class,Katherine White,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Tape Dispenser Heavy,35.46,3,0.3,5.16
ORD-2023-01569,2023-01-19,2023-01-24,First Class,Joshua Clark,Home Office,San Diego,California,West,Furniture,Chairs,Task Chair Standard,425.55,3,0.1,33.05
ORD-2023-01337,2023-01-19,2023-01-22,First Class,Charles Frost,Home Office,Seattle,Washington,West,Technology,Laptops,Dell XPS 15,1231.84,1,0.2,50.09
ORD-2023-01268,2023-01-19,2023-01-25,Standard Class,Deborah Mercado,Consumer,Dallas,Texas,Central,Technology,Laptops,Dell XPS 15,1012.33,1,0.15,259.32
ORD-2023-07725,2023-01-19,2023-01-25,Standard Class,Brenda Anderson,Corporate,Raleigh,North Carolina,South,Office Supplies,Art Supplies,Highlighter 12-Pack,72.47,5,0.0,35.68
ORD-2023-04126,2023-01-19,2023-01-23,Second Class,Rachel Miller,Corporate,Milwaukee,Wisconsin,Central,Technology,Accessories,Logitech MX Master,378.89,4,0.05,66.15
ORD-2023-03310,2023-01-19,2023-01-24,Second Class,Amy Mccullough,Corporate,Indianapolis,Indiana,Central,Office Supplies,Paper,Legal Pads 12-Pack,217.61,9,0.1,34.53
ORD-2023-03033,2023-01-20,2023-01-27,Standard Class,Deborah Roberson,Consumer,Indianapolis,Indiana,Central,Office Supplies,Art Supplies,Pen Set Professional,92.71,3,0.0,34.92
ORD-2023-02886,2023-01-20,2023-01-24,Standard Class,Sara Thomas,Home Office,San Diego,California,West,Office Supplies,Storage,Drawer Organizer,21.81,1,0.2,1.55
ORD-2023-03047,2023-01-20,2023-01-27,Standard Class,Jeffrey Fuller,Consumer,Las Vegas,Nevada,West,Technology,Phones,OnePlus 12,2459.72,4,0.1,678.35
ORD-2023-00520,2023-01-20,2023-01-22,Standard Class,Vincent Reynolds,Consumer,Indianapolis,Indiana,Central,Office Supplies,Binders,Report Covers 25-Pack,27.15,3,0.3,2.77
ORD-2023-01293,2023-01-20,2023-01-21,First Class,Christine Lopez,Consumer,Raleigh,North Carolina,South,Office Supplies,Binders,Expanding File Folder,24.54,2,0.1,6.89
ORD-2023-04439,2023-01-20,2023-01-25,Standard Class,Amy Boone,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art Supplies,Pen Set Professional,60.64,2,0.1,14.58
ORD-2023-09062,2023-01-20,2023-01-23,Second Class,Margaret Gonzalez,Home Office,Raleigh,North Carolina,South,Technology,Phones,iPhone 15 Pro,2780.53,3,0.05,247.16
ORD-2023-09494,2023-01-20,2023-01-26,First Class,Ronald Crawford,Corporate,Tampa,Florida,South,Technology,Laptops,MacBook Air M3,2382.72,2,0.05,289.5
ORD-2023-02616,2023-01-20,2023-01-24,First Class,Shawn Luna,Corporate,Chicago,Illinois,Central,Technology,Phones,iPhone 15 Pro,4442.57,5,0.05,736.78
ORD-2023-01173,2023-01-20,2023-01-23,Standard Class,Mr. Thomas Thompson,Corporate,Atlanta,Georgia,East,Technology,Laptops,ThinkPad X1 Carbon,1176.09,1,0.0,163.96
ORD-2023-09501,2023-01-20,2023-01-23,Standard Class,Emily Oneal,Consumer,Dallas,Texas,Central,Technology,Monitors,"Dell UltraSharp 27""",1032.6,2,0.0,141.26
